exchange,chain,block_height,ts,address,contract_name,contract_address,contract_ticker_symbol,balance
gate,ethereum,14730462,2022-05-07 14:59:39,0x0278e07b00eb990cb76f3d933042ba99ad82d6e6,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,4840.686513
gate,ethereum,14730462,2022-05-07 14:59:39,0x1ca69161044e24b8e1bbb398078f006ddcbcd00a,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,4416.109273
gate,ethereum,14730462,2022-05-07 14:59:39,0xc37a07d79db9c4ad97fa867ac80457c89153e3dc,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,4000.449519
binance,ethereum,14730462,2022-05-07 14:59:39,0x1b291d346dc574a516456eef3c5cf0fcf75d055b,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3950.12522
binance,ethereum,14730462,2022-05-07 14:59:39,0xb5411b6b9ae1b4237df3cd5e0a8cacb8c223981e,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3823.23
binance,ethereum,14730462,2022-05-07 14:59:39,0xde1822394e8c05e12b76c075a7edd940c0b0e3e2,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3823.088136
lbank,ethereum,14730462,2022-05-07 14:59:39,0x120051a72966950b8ce12eb5496b5d1eeec1541b,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3742.850149
gate,ethereum,14730462,2022-05-07 14:59:39,0x37d56971abce9f175179d4db7c788c447b1c62c9,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3638.567157
gate,ethereum,14730462,2022-05-07 14:59:39,0x38595a754dc68fdc51a9e0f3d2d9f95081bc8c70,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3369.683292
gate,ethereum,14730462,2022-05-07 14:59:39,0x3505239bc56ddb79c7512a2cd669922a492e33d3,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3322.01
gate,ethereum,14730462,2022-05-07 14:59:39,0x0f2f4f0cea3dd27bcd92be4fbb940354a097c4c2,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3307.867512
gate,ethereum,14730462,2022-05-07 14:59:39,0x359a16dd4bf8be28a462a7d7e450aa8df93187ef,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3250
gate,ethereum,14730462,2022-05-07 14:59:39,0x00a6d3be207ba7f9fcb36ddd496ed1efcdc5039e,Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,3227.512707
